Year,State,Vehicle_Category,Vehicle_Class,EV_Sales_Quantity
2014.0,Tamil Nadu,4-Wheelers,CAR/CAB,19.0
2014.0,Tripura,2-Wheelers,SCOOTER,0.0
2014.0,Tripura,3-Wheelers,RICKSHAW,0.0
2014.0,Tripura,4-Wheelers,CAR/CAB,0.0
2014.0,Uttar Pradesh,2-Wheelers,SCOOTER,125.0
2014.0,Uttar Pradesh,3-Wheelers,RICKSHAW,0.0
2014.0,Uttar Pradesh,4-Wheelers,CAR/CAB,0.0
2014.0,Uttarakhand,2-Wheelers,SCOOTER,9.0
2014.0,Uttarakhand,3-Wheelers,RICKSHAW,0.0
2014.0,Uttarakhand,4-Wheelers,CAR/CAB,0.0
2014.0,West Bengal,2-Wheelers,SCOOTER,0.0
2014.0,West Bengal,3-Wheelers,RICKSHAW,0.0
2014.0,West Bengal,4-Wheelers,CAR/CAB,2.0
2015.0,Andaman & Nicobar Island,2-Wheelers,SCOOTER,0.0
2015.0,Andaman & Nicobar Island,3-Wheelers,RICKSHAW,0.0
2015.0,Andaman & Nicobar Island,4-Wheelers,CAR/CAB,0.0
2015.0,Andhra Pradesh,2-Wheelers,SCOOTER,8.0
2015.0,Andhra Pradesh,3-Wheelers,RICKSHAW,0.0
2015.0,Andhra Pradesh,4-Wheelers,CAR/CAB,0.0
2015.0,Arunachal Pradesh,2-Wheelers,SCOOTER,0.0
2015.0,Arunachal Pradesh,3-Wheelers,RICKSHAW,0.0
2015.0,Arunachal Pradesh,4-Wheelers,CAR/CAB,0.0
2015.0,Assam,2-Wheelers,SCOOTER,3.0
2015.0,Assam,3-Wheelers,RICKSHAW,0.0
2015.0,Assam,4-Wheelers,CAR/CAB,1.0
2015.0,Bihar,2-Wheelers,SCOOTER,1.0
2015.0,Bihar,3-Wheelers,RICKSHAW,64.0
2015.0,Bihar,4-Wheelers,CAR/CAB,3.0
2015.0,Chandigarh,2-Wheelers,SCOOTER,0.0
2015.0,Chandigarh,3-Wheelers,RICKSHAW,0.0
2015.0,Chandigarh,4-Wheelers,CAR/CAB,2.0
